timestamp,link_id,src_port,dst_port,tx_rate_bytes,utilization_pct
2026-09-08T05:37:56.096168,0000000000000002-0000000000000003,2,1,4905.86,0.04
2026-09-08T05:37:56.121572,0000000000000005-0000000000000003,2,2,1572.39,0.05
2026-09-08T05:37:56.147712,0000000000000002-0000000000000006,3,2,6331.49,0.05
2026-09-08T05:37:56.170954,0000000000000006-0000000000000002,2,3,1614.32,0.05
2026-09-08T05:37:56.196480,0000000000000004-0000000000000002,1,3,3333.47,0.05
2026-09-08T05:37:56.220981,0000000000000003-0000000000000002,1,2,3228.64,0.05
2026-09-08T05:37:56.241660,0000000000000001-0000000000000002,2,2,4780.07,0.04
2026-09-08T05:37:58.805494,0000000000000003-0000000000000005,2,2,6530.33,0.05
2026-09-08T05:37:58.834690,0000000000000004-0000000000000006,2,2,6444.12,0.05
2026-09-08T05:37:58.856899,0000000000000005-0000000000000002,2,2,1616.42,0.05
2026-09-08T05:37:58.883721,0000000000000004-0000000000000001,1,2,3189.73,0.05
2026-09-08T05:37:58.905662,0000000000000002-0000000000000005,2,2,4913.91,0.04
2026-09-08T05:37:58.926932,0000000000000001-0000000000000005,3,2,6465.67,0.05
2026-09-08T05:37:58.948116,0000000000000003-0000000000000004,1,1,3297.49,0.05
2026-09-08T05:37:58.966620,0000000000000001-0000000000000004,2,1,5000.12,0.04
2026-09-08T05:37:58.985432,0000000000000002-0000000000000004,3,1,6401.02,0.05
2026-09-08T05:37:59.006223,0000000000000006-0000000000000004,2,2,1573.31,0.05
2026-09-08T05:38:01.629569,0000000000000003-0000000000000005,2,2,6877.91,0.06
2026-09-08T05:38:01.650036,0000000000000004-0000000000000006,2,2,6877.91,0.06
2026-09-08T05:38:01.680535,0000000000000001-0000000000000004,2,1,5285.8,0.04
2026-09-08T05:38:01.703263,0000000000000002-0000000000000004,3,1,6814.23,0.05
2026-09-08T05:38:01.730702,0000000000000001-0000000000000005,3,2,6835.45,0.05
2026-09-08T05:38:01.752082,0000000000000005-0000000000000001,2,3,1719.48,0.05
2026-09-08T05:38:01.773408,0000000000000003-0000000000000001,1,3,3481.41,0.05
2026-09-08T05:38:01.792852,0000000000000006-0000000000000005,2,2,1740.71,0.06
2026-09-08T05:38:01.814228,0000000000000004-0000000000000005,1,2,3502.64,0.05
2026-09-08T05:38:01.832053,0000000000000002-0000000000000005,2,2,5285.8,0.04
2026-09-08T05:38:04.690805,0000000000000003-0000000000000005,2,2,4665.28,0.04
2026-09-08T05:38:04.714901,0000000000000004-0000000000000006,2,2,4586.87,0.04
2026-09-08T05:38:04.736910,0000000000000001-0000000000000003,3,1,4567.27,0.04
2026-09-08T05:38:04.763747,0000000000000002-0000000000000001,2,2,3489.16,0.03
2026-09-08T05:38:04.785759,0000000000000004-0000000000000002,1,3,2411.05,0.04
2026-09-08T05:38:04.805892,0000000000000006-0000000000000004,2,2,1254.53,0.04
2026-09-08T05:38:04.831959,0000000000000005-0000000000000006,2,2,1293.73,0.04
2026-09-08T05:38:04.862043,0000000000000003-0000000000000006,1,2,2430.65,0.04
2026-09-08T05:38:04.883845,0000000000000001-0000000000000006,2,2,3567.56,0.03
2026-09-08T05:38:04.906971,0000000000000002-0000000000000006,3,2,4606.47,0.04
2026-09-08T05:38:07.258253,0000000000000003-0000000000000005,2,2,6752.74,0.05
2026-09-08T05:38:07.284779,0000000000000004-0000000000000006,2,2,6846.2,0.05
2026-09-08T05:38:07.309482,0000000000000001-0000000000000003,3,1,6892.93,0.06
2026-09-08T05:38:07.332942,0000000000000002-0000000000000005,2,2,5140.49,0.04
2026-09-08T05:38:07.358975,0000000000000002-0000000000000004,3,1,6752.74,0.05
2026-09-08T05:38:07.382381,0000000000000003-0000000000000004,1,1,3738.54,0.05
2026-09-08T05:38:07.407116,0000000000000006-0000000000000005,2,2,1588.88,0.05
2026-09-08T05:38:07.434316,0000000000000004-0000000000000002,1,3,3224.49,0.05
2026-09-08T05:38:07.460878,0000000000000005-0000000000000006,2,2,1752.44,0.05
2026-09-08T05:38:07.485919,0000000000000001-0000000000000006,2,2,5654.54,0.05
2026-09-08T05:38:09.939658,0000000000000003-0000000000000005,2,2,7228.04,0.06
2026-09-08T05:38:09.969088,0000000000000004-0000000000000006,2,2,7071.4,0.06
2026-09-08T05:38:10.006061,0000000000000002-0000000000000004,3,1,7026.64,0.06
2026-09-08T05:38:10.028638,0000000000000004-0000000000000005,1,2,3692.34,0.06
2026-09-08T05:38:10.049319,0000000000000001-0000000000000005,3,2,7116.15,0.06
2026-09-08T05:38:10.073383,0000000000000006-0000000000000001,2,2,1723.09,0.06
2026-09-08T05:38:10.092956,0000000000000002-0000000000000001,2,2,5549.7,0.04
2026-09-08T05:38:10.113760,0000000000000005-0000000000000006,2,2,1812.61,0.06
2026-09-08T05:38:10.134145,0000000000000003-0000000000000006,1,2,3759.48,0.06
2026-09-08T05:38:10.154464,0000000000000001-0000000000000006,2,2,5527.33,0.04
2026-09-08T05:38:12.533992,0000000000000003-0000000000000005,2,2,6646.29,0.05
2026-09-08T05:38:12.556261,0000000000000004-0000000000000006,2,2,6715.76,0.05
2026-09-08T05:38:12.578561,0000000000000002-0000000000000006,3,2,6646.29,0.05
2026-09-08T05:38:12.599915,0000000000000004-0000000000000005,1,2,3357.88,0.05
2026-09-08T05:38:12.624321,0000000000000002-0000000000000005,2,2,5071.56,0.04
2026-09-08T05:38:12.644433,0000000000000001-0000000000000005,3,2,6553.65,0.05
2026-09-08T05:38:12.668975,0000000000000006-0000000000000002,2,3,1621.05,0.05
2026-09-08T05:38:12.709011,0000000000000005-0000000000000006,2,2,1713.68,0.05
2026-09-08T05:38:12.731818,0000000000000003-0000000000000006,1,2,3543.14,0.05
